"filename", "language", "Dart", "C++", "Swift", "Markdown", "JSON", "XML", "Groovy", "Properties", "HTML", "YAML", "comment", "blank", "total"
"/mnt/Storage Data/My Projects/car_workshop_app/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/mnt/Storage Data/My Projects/car_workshop_app/analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23, 4, 30
"/mnt/Storage Data/My Projects/car_workshop_app/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 5, 13, 72
"/mnt/Storage Data/My Projects/car_workshop_app/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"/mnt/Storage Data/My Projects/car_workshop_app/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 1, 35
"/mnt/Storage Data/My Projects/car_workshop_app/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/mnt/Storage Data/My Projects/car_workshop_app/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/mnt/Storage Data/My Projects/car_workshop_app/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"/mnt/Storage Data/My Projects/car_workshop_app/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"/mnt/Storage Data/My Projects/car_workshop_app/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"/mnt/Storage Data/My Projects/car_workshop_app/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"/mnt/Storage Data/My Projects/car_workshop_app/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/mnt/Storage Data/My Projects/car_workshop_app/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/mnt/Storage Data/My Projects/car_workshop_app/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"/mnt/Storage Data/My Projects/car_workshop_app/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/mnt/Storage Data/My Projects/car_workshop_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"/mnt/Storage Data/My Projects/car_workshop_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"/mnt/Storage Data/My Projects/car_workshop_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/mnt/Storage Data/My Projects/car_workshop_app/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"/mnt/Storage Data/My Projects/car_workshop_app/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"/mnt/Storage Data/My Projects/car_workshop_app/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/mnt/Storage Data/My Projects/car_workshop_app/lib/constants.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/mnt/Storage Data/My Projects/car_workshop_app/lib/data_ops/adding_data.dart", "Dart", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 157
"/mnt/Storage Data/My Projects/car_workshop_app/lib/data_ops/deleting_data.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/mnt/Storage Data/My Projects/car_workshop_app/lib/data_ops/fetching_data.dart", "Dart", 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 234
"/mnt/Storage Data/My Projects/car_workshop_app/lib/data_ops/searching_data.dart", "Dart", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 83
"/mnt/Storage Data/My Projects/car_workshop_app/lib/data_ops/updating_data.dart", "Dart", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 140
"/mnt/Storage Data/My Projects/car_workshop_app/lib/data_ops/user_management.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 52
"/mnt/Storage Data/My Projects/car_workshop_app/lib/main.dart", "Dart", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 97
"/mnt/Storage Data/My Projects/car_workshop_app/lib/models/customer.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/mnt/Storage Data/My Projects/car_workshop_app/lib/models/job.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/mnt/Storage Data/My Projects/car_workshop_app/lib/models/part_service.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/mnt/Storage Data/My Projects/car_workshop_app/lib/models/vehicle.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
